Open,High,Close,Low,Volume,Date
2.38,2.38,2.37,2.35,520625,16-01-2017
2.36,2.38,2.37,2.34,592545,17-01-2017
2.37,2.39,2.38,2.34,820669,18-01-2017
2.37,2.38,2.35,2.34,402986,19-01-2017
2.37,2.38,2.37,2.33,768416,20-01-2017
2.39,2.39,2.29,2.255,1355847,23-01-2017
2.3,2.31,2.27,2.22,1577452,24-01-2017
2.27,2.3,2.29,2.24,825582,25-01-2017
2.29,2.31,2.29,2.28,434414,27-01-2017
2.28,2.31,2.26,2.24,847352,30-01-2017
2.26,2.28,2.28,2.23,1230802,31-01-2017
2.27,2.27,2.22,2.2,1431646,01-02-2017
2.22,2.25,2.19,2.17,2160213,02-02-2017
2.19,2.245,2.21,2.18,1225010,03-02-2017
2.25,2.25,2.2,2.19,1141783,06-02-2017
2.21,2.21,2.19,2.16,1140335,07-02-2017
2.19,2.27,2.25,2.17,983639,08-02-2017
2.26,2.28,2.26,2.22,958060,09-02-2017
2.26,2.32,2.3,2.26,1321895,10-02-2017
2.29,2.33,2.31,2.27,1081927,13-02-2017
2.33,2.37,2.37,2.31,781259,14-02-2017
2.35,2.38,2.33,2.32,1056455,15-02-2017
2.34,2.345,2.33,2.31,878124,16-02-2017
2.34,2.34,2.32,2.3,1067004,17-02-2017
2.32,2.38,2.34,2.3,1042190,20-02-2017
2.2,2.32,2.27,2.18,2739682,21-02-2017
2.26,2.33,2.32,2.22,1662498,22-02-2017
2.34,2.38,2.33,2.32,1793087,23-02-2017
2.36,2.37,2.35,2.3,1332993,24-02-2017
2.35,2.35,2.32,2.3,899010,27-02-2017
2.31,2.37,2.34,2.31,1269983,28-02-2017
2.35,2.35,2.33,2.25,1598387,01-03-2017
2.34,2.39,2.39,2.33,1137363,02-03-2017
2.35,2.38,2.36,2.34,859440,03-03-2017
2.36,2.38,2.37,2.33,455827,06-03-2017
2.35,2.4,2.4,2.35,858251,07-03-2017
2.4,2.4,2.34,2.29,1719324,08-03-2017
2.3,2.34,2.33,2.26,829342,09-03-2017
2.33,2.36,2.34,2.32,1034275,10-03-2017
2.34,2.38,2.33,2.31,453321,13-03-2017
2.33,2.35,2.31,2.28,793544,14-03-2017
2.31,2.34,2.33,2.29,603180,15-03-2017
2.32,2.33,2.31,2.3,735231,16-03-2017
2.34,2.36,2.35,2.31,1032615,17-03-2017
2.31,2.35,2.33,2.31,358884,20-03-2017
