Open,High,Close,Low,Volume,Date
2.07,2.07,2.03,2.03,2944,15-01-2020 09:02:00
2.03,2.03,2.03,2.03,0,15-01-2020 09:03:00
2.04,2.05,2.05,2.04,148,15-01-2020 09:04:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:05:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:06:00
2.05,2.05,2.05,2.05,10,15-01-2020 09:07:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:08:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:09:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:10:00
2.05,2.07,2.05,2.04,8740,15-01-2020 09:11:00
2.06,2.06,2.06,2.05,1133,15-01-2020 09:12:00
2.06,2.06,2.05,2.05,1052,15-01-2020 09:13:00
2.06,2.06,2.06,2.06,26,15-01-2020 09:14:00
2.06,2.06,2.06,2.06,235,15-01-2020 09:15:00
2.06,2.06,2.06,2.05,117,15-01-2020 09:16:00
2.06,2.07,2.06,2.06,28498,15-01-2020 09:17:00
2.07,2.07,2.06,2.06,492,15-01-2020 09:18:00
2.06,2.06,2.05,2.05,6080,15-01-2020 09:19:00
2.05,2.06,2.05,2.05,2691,15-01-2020 09:20:00
2.05,2.06,2.05,2.05,2094,15-01-2020 09:21:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:22:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:23:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:24:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:25:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:26:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:27:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:28:00
2.05,2.055,2.04,2.04,4249,15-01-2020 09:29:00
2.05,2.05,2.03,2.03,2913,15-01-2020 09:30:00
2.03,2.03,2.03,2.03,419,15-01-2020 09:31:00
2.04,2.04,2.03,2.03,81,15-01-2020 09:32:00
2.03,2.03,2.03,2.03,0,15-01-2020 09:33:00
2.03,2.035,2.035,2.03,487,15-01-2020 09:34:00
2.04,2.04,2.04,2.04,2315,15-01-2020 09:35:00
2.04,2.04,2.04,2.04,0,15-01-2020 09:36:00
2.05,2.05,2.05,2.05,595,15-01-2020 09:37:00
2.05,2.05,2.05,2.05,0,15-01-2020 09:38:00
